city,news_count,sentiment_score,positive_pct,negative_pct,neutral_pct
汕头,18,37.89,44.44,55.56,0.0
榆林,106,37.62,38.68,61.32,0.0
盘锦,11,37.38,36.36,63.64,0.0
廊坊,33,35.69,36.36,63.64,0.0
滁州,14,34.42,35.71,64.29,0.0
亳州,19,33.63,36.84,63.16,0.0
赤峰,12,33.33,33.33,66.67,0.0
焦作,17,32.32,35.29,58.82,5.88
淮南,26,32.06,30.77,69.23,0.0
乌兰察布,86,30.92,31.4,68.6,0.0
乐山,28,30.48,32.14,67.86,0.0
信阳,19,30.43,36.84,63.16,0.0
沧州,40,30.0,30.0,70.0,0.0
铜仁,47,29.23,27.66,72.34,0.0
马鞍山,48,27.88,29.17,70.83,0.0
宿州,16,27.22,31.25,68.75,0.0
巴彦淖尔,6,25.71,33.33,66.67,0.0
承德,11,25.2,27.27,72.73,0.0
池州,7,24.0,28.57,71.43,0.0
平顶山,31,23.52,22.58,74.19,3.23
郴州,30,23.33,23.33,76.67,0.0
日喀则,17,22.93,23.53,76.47,0.0
曲靖,14,20.77,21.43,78.57,0.0
商洛,25,19.31,20.0,80.0,0.0
宣城,11,15.13,18.18,81.82,0.0
本溪,12,12.86,16.67,83.33,0.0
濮阳,10,11.82,10.0,90.0,0.0
攀枝花,3,0.0,0.0,100.0,0.0
